1	0	4852
2	3	5316
3	6	6957
4	9	10078
5	12	10908
6	15	12110
7	18	13016
8	21	16277
9	24	21755
10	27	23206
11	30	28229
12	38	38184
13	43	40982
14	48	49364
15	54	61908
16	60	66381
17	66	81184
18	73	87043
19	80	93104
20	87	113561
21	95	133691
22	103	142753
23	111	154383
24	120	179768
25	129	215407
26	138	228976
27	144	260176
28	150	276013
29	156	288790
30	162	361195
31	168	377176
32	174	393502
33	180	410174
34	185	507336
35	190	526191
36	195	545386
37	199	600708
38	203	676321
39	207	708253
40	210	773419
41	213	794571
42	216	883972
43	218	958032
44	220	980285
45	222	1012317
46	223	1111592
47	224	1196050
48	225	1218862
49	225	1238296
50	225	1431811
